statement,type
it can wait,W
"a ""knowable"" is a ""known"" relating to at least one additional W",
"a ""known"" has only one's own W involved",
the unknown is just W,
I am making Counter to understand what Counter is made of.,known
Counter is made of ████.,knowable
████ can wait,knowable
"as soon as it can be visualized, it answers to visualization",known
Counter can wait.,known
a statement is not separate from its type.,known
visualization of statements without their types arrests my thinking.,known
this statement is seen by someone who can modify the visualization that I see.,known
████ can modify the visualization.,knowable
████ and ████ relate.,knowable
the relation between ████ and ████ is ████.,unknown
statements are append-only.,known
"the statement ""it can wait"" (W) suggests ""████ can wait"" (known).",known
████ can wait,known
that last statement changed the visualization.,known
this feels like when my therapist helped me learn how to think synchronously along with others in the room instead of jumping many steps ahead while keeping those steps out of view.,known
the type system that describes my understanding is smaller than the terrain from which I create understanding. the map is simpler than the terrain.,known
"the thought ""this feels like struggle"" keeps coming to mind, but I am not experiencing *signs of* struggle. what is struggle without signs of struggle? feels like... hm hm. feels like being not quite located yet. feels like ""I don't know where I am"".",known
not-knowing is an action,known
